Tijdstempel,What programme are you in?,,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,Chocolate makes you.....,When is your birthday (date)?,Number of neighbors sitting around you?,Did you stand up?,What is your stress level (0-100)?,stress_processed,money,Give a random number,Time you went to be Yesterday,What makes a good day for you (1)?,What makes a good day for you (2)?,Good day 1,Good day 2,,,
4/5/2022 12:15:48,MSc Finance,MSc Finance,no,0,mu,nee,male,I have no idea what you are talking about,02/04/1996,4,no,45,45,50,10,01:53,Sun ,Rain,weather,weather,,,
4/5/2022 12:15:48,AI,MSc Artificial Intelligence VU,no,0,mu,nee,male,fat,18.03.1996,0,no,75,75,1,4,0:00,Sports,Meditation,sport,relax,,,
4/5/2022 12:15:48,MSc Computer science,MSc Computer Science,no,0,sigma,ja,male,fat,22/05/1996,1,no,10,10,35,7,1 am,Good food,Good sex,food,sex,,,
4/5/2022 12:15:48,Bioinformatics ,MSc Bioinformatics and Systems Biology,yes,0,mu,nee,male,neither,23-6,0,no,80,80,equally shared,1,1,8 hours of sleep ,no stress about uni,sleep,mood,,,
4/5/2022 12:15:48,business analytics,MSc Business Analytics,yes,0,mu,ja,female,fat,11-10-1999,0,no,40,40,5,8,00:00,Hours of sleep,Good food,sleep,food,,,
4/5/2022 12:15:49,Computational science,MSc Computational Science,yes,unknown,mu,ja,not willing to answer,neither,somewhere between Januari and December,2,no,80,80,equally shared,4.34,03:00,Spending time with friends,Free time ,friends,relax,,,
4/5/2022 12:15:49,CS,MSc Computer Science,yes,1,mu,ja,male,I have no idea what you are talking about,31 October,0,no,10,10,5,69,01:00,Friends,Food,friends,food,,,
4/5/2022 12:15:49,PhD,PhD,yes,unknown,mu,unknown,female,fat,05-04-1998,0,no,50,50,1,68,23:15,Sunshine,Free time,weather,relax,,,
4/5/2022 12:15:49,Econometrics and data science,MSc Econometrics and Operations Research,yes,0,mu,nee,male,fat,23-11-1996,0,no,33,33,88,8,01:00,good food,feyenoord winning,food,sport,,,
4/5/2022 12:15:49,Msc Artificial Intelligence,MSc Artificial Intelligence VU,yes,0,mu,nee,male,neither,16-07-1998,2,no,70,70,equally shared,7,0.2,Good night,Fun stuff to do,sleep,relax,,,
4/5/2022 12:15:49,AI,MSc Artificial Intelligence VU,yes,unknown,mu,nee,male,fat,19.10.1997,1,yes,30,30,troll,42,01:00,coding,food,work,food,,,
4/5/2022 12:15:50,Data Science ,MSc Information Studies Data Science Track UvA,yes,1,mu,nee,female,I have no idea what you are talking about,23th of June,0,no,34,34,"0,00006",651893,0:15h,Sleep,More Sleep,sleep,sleep,,,
4/5/2022 12:15:50,Business Analytics,MSc Business Analytics,yes,1,mu,ja,female,fat,29 Nov,1,no,20,20,1,9462648,23:00,Sun,Friends,weather,friends,,,
4/5/2022 12:15:50,Artificial Intelligence,MSc Artificial Intelligence VU,yes,unknown,mu,ja,male,slim,1 September,5,no,60,60,5,68,23:00,Free,Warmth,mood,weather,,,
4/5/2022 12:15:51,Artificial Intelligence,MSc Artificial Intelligence VU,no,0,mu,nee,male,I have no idea what you are talking about,18/04/1998,2,no,70,70,0,4,4.3,food,sleep,food,sleep,,,
4/5/2022 12:15:51,Msc AI,MSc Artificial Intelligence VU,yes,1,mu,ja,male,I have no idea what you are talking about,20 december,1,unknown,20,20,5,521,23.3,Laughter,Friends,mood,friends,,,
4/5/2022 12:15:51,AI,MSc Artificial Intelligence VU,no,0,mu,nee,male,fat,12-11-1996,0,no,75,75,5,77,23:00,Sunny,Vacation,weather,relax,,,
4/5/2022 12:15:51,MSc Artificial Intelligence,MSc Artificial Intelligence VU,no,1,mu,ja,male,fat,19 June ,1,no,20,20,troll,69,12 am,Productive,good times with friends and family,work,friends,,,
4/5/2022 12:15:51,Econometrics & Operations Research,MSc Econometrics and Operations Research,no,0,mu,nee,male,neither,19-04-1999,1,yes,15,15,0,9.66436794321779E+021,23,Sex,Sports,sex,sport,,,
4/5/2022 12:15:52,Econometrics and Operations Research,MSc Econometrics and Operations Research,no,0,mu,nee,female,neither,June 5th,0,no,100,100,1,3,03:00,feeling content,not too much stress,mood,mood,,,
4/5/2022 12:15:52,msc econometrics,MSc Econometrics and Operations Research,no,0,mu,ja,male,I have no idea what you are talking about,21-04-1995,0,no,0,0,equally shared,2230,2230,Sports,Drinking,sport,alcohol,,,
4/5/2022 12:15:52,Computational Science,MSc Computational Science,no,0,sigma,nee,male,neither,11-11,0,yes,20,20,100,13,1am,A nice deep sleep,working out in the gym,sleep,sport,,,
4/5/2022 12:15:52,CS,MSc Computer Science,no,0,mu,ja,male,neither,16-10-1998,0,no,80,80,20,420,06:00,good sleep,good dinner,sleep,food,,,
4/5/2022 12:15:53,Artificial Intelligence,MSc Artificial Intelligence VU,yes,0,mu,ja,female,I have no idea what you are talking about,16-07-1994,6,yes,36,36,6,163,21:43,Good food,Sunshine,food,weather,,,
4/5/2022 12:15:53,Bioinformatics and Systems Biology,MSc Bioinformatics and Systems Biology,yes,0,mu,nee,male,fat,08-10-1999,5,no,50,50,0.5,3,23:45,Get up early,Don’t drink day before,sleep,mood,,,
4/5/2022 12:15:53,MSc in Bioinformatics and Systems Biology,MSc Bioinformatics and Systems Biology,yes,0,sigma,nee,male,fat,14/04/1999,0,no,40,40,0,e,01:00,Sun,Food,weather,food,,,
4/5/2022 12:15:53,Business Analytics,MSc Business Analytics,yes,1,mu,ja,female,fat,18-02-1999,0,no,60,60,1,18,23.45,Friends,Nice weather,friends,weather,,,
4/5/2022 12:15:54,Business Analytics,MSc Business Analytics,yes,unknown,mu,ja,female,fat,13-07-1998,0,no,12,12,1,2,00:12,Friends,Party,friends,friends,,,
4/5/2022 12:15:54,"Engineering and Policy Analysis, TU Delft","Engineering and Policy Analysis, TU Delft",no,0,mu,nee,female,neither,22-10-1998,2,no,60,60,10,4,23:00,Stresslevel,Social interaction,relax,friends,,,
4/5/2022 12:15:55,AI,MSc Artificial Intelligence VU,no,0,mu,nee,female,neither,15.01,1,no,70,70,2,33,23:00,A lot of sleep,Time to read ,sleep,relax,,,
4/5/2022 12:15:55,MSc Bioinformatics and Systems Biology,MSc Bioinformatics and Systems Biology,yes,0,mu,nee,female,neither,12-10 -1998,5,unknown,70,70,5,5,2:00am,Sun,good meal,weather,food,,,
4/5/2022 12:15:56,QRM,Duisenberg Honours Programme in Quantitative Risk Management,no,0,sigma,nee,male,neither,August 3rd,1,no,75,75,60,3,12:00,Sunny,Beer,weather,alcohol,,,
4/5/2022 12:15:56,AI,MSc Artificial Intelligence VU,yes,1,mu,ja,female,fat,18-06-1999,2,no,60,60,25,6,23:00,exercise,good food,sport,food,,,
4/5/2022 12:15:56,Artificial Intelligence - Cognitive Science,MSc Artificial Intelligence VU,yes,0,unknown,ja,male,neither,15081995,1,no,100,100,50,77,9 AM,Green,Food,drugs,food,,,
4/5/2022 12:15:56,AI,MSc Artificial Intelligence VU,unknown,0,unknown,ja,male,neither,31-12-1999,0,no,100,100,1,24,02:00,Chocolate,Freedom,food,relax,,,
4/5/2022 12:15:56,Business Analytics,MSc Business Analytics,yes,1,mu,ja,female,I have no idea what you are talking about,27-04-1997,0,no,20,20,equally shared,37,22.3,Food,Friends,food,friends,,,
4/5/2022 12:15:57,AI,MSc Artificial Intelligence VU,yes,0,mu,nee,male,unknown,06.07.1997,2,yes,1,1,missing,3,11:30,Nice weather,No EDDA,weather,relax,,,
4/5/2022 12:15:57,Artificial intelligence,MSc Artificial Intelligence VU,yes,0,mu,ja,not willing to answer,I have no idea what you are talking about,11/11/1900,2,yes,69,69,100,56799,12 am,Beer,Sunday funday,alcohol,relax,,,
4/5/2022 12:15:57,Masters EOR,MSc Econometrics and Operations Research,no,0,mu,nee,male,I have no idea what you are talking about,12/12/1996,0,no,85,85,100,6,22:00,weather,no work,weather,relax,,,
4/5/2022 12:15:57,Bioinformatics & Systems Biology,MSc Bioinformatics and Systems Biology,yes,unknown,mu,ja,female,neither,03-06-1996,0,unknown,0,0,1,9,22:00,Food,Sleep,food,sleep,,,
4/5/2022 12:15:57,BA,MSc Business analytics,yes,0,mu,nee,female,neither,27-01-1998,0,no,50,50,equally shared,8,23:28,Good night of sleep,Low stress level,sleep,mood,,,
4/5/2022 12:15:58,Artificial Intelligence,MSc Artificial Intelligence VU,yes,0,mu,ja,female,I have no idea what you are talking about,26/02/1999,1,no,55,55,50,55,5:30,SUN,drinks with friends,weather,alcohol,,,
4/5/2022 12:15:58,Computer science,MSc Computer Science,no,0,mu,ja,male,neither,1102,7,no,23,23,100,77,12,Successful debugging,Seeing my girlfriend ,work,love,,,
4/5/2022 12:15:58,CS,MSc Computer Science,no,1,sigma,ja,male,neither,1996,3,no,40,40,100,66,2,Good Sleep,Diet on point,sleep,food,,,
4/5/2022 12:15:59,Artificial Intelligence,MSc Artificial Intelligence VU,yes,0,mu,nee,male,I have no idea what you are talking about,01/10/1996,3,no,70,70,100,54 727 163 638 182 600 000 000 000 000 000 000 000,23:00,Being with friends,Eating good food,friends,food,,,
4/5/2022 12:15:59,Human Language Technology,Master Human Language Technology,yes,1,sigma,ja,male,I have no idea what you are talking about,may the 4th be with you,troll,yes,7.5,7.5,0.1,987654321,22:30,Chocolate,Sun,food,weather,,,
4/5/2022 12:15:59,EOR,MSc Econometrics and Operations Research,yes,0,mu,ja,female,neither,15-07-1999,0,no,70,70,10,8,22:30,Sports,Activity,sport,sport,,,
4/5/2022 12:15:59,BA,MSc Business analytics,yes,0,mu,nee,male,neither,18-08,4,no,11,11,0.06,96274374,8 pm,A dm lecture,A dm QA,work,work,,,
4/5/2022 12:15:59,Bioinformatics & Systems Biology,MSc Bioinformatics and Systems Biology,yes,0,mu,nee,male,neither,19.03.1995,0,no,70,70,equally shared,78945,2:00,coffee in the morning,beer in the evening,coffee,alcohol,,,
4/5/2022 12:15:59,F&T,Duisenberg Honours Programme in Finance and TechnologyFinance and Technology,yes,0,sigma,nee,male,fat,29/03,4,yes,100,100,100,7,2,3,2,troll,troll,,,
4/5/2022 12:16:00,Artificial Intelligence,MSc Artificial Intelligence VU,unknown,1,mu,nee,male,I have no idea what you are talking about,24.08.1996,0,yes,11,11,equally shared,42,22:09,I don't know,I really don't know,troll,troll,,,
4/5/2022 12:16:00,Computational Science,MSc Computational Science,yes,0,mu,ja,male,I have no idea what you are talking about,21/06/1997,0,no,1,1,10,7654321,00:30,Applying data mining techniques,Netflix with girlfriend,work,love,,,
4/5/2022 12:16:00,Computer Science,MSc Computer Science,yes,0,mu,ja,male,fat,02-07-1999,1,no,80,80,20,7,0:00,no class,no homework,relax,relax,,,
4/5/2022 12:16:00,BA,MSc Business analytics,yes,unknown,mu,nee,female,slim,28,0,no,60,60,100,7,23:00,no stress from school,go to restaurant,relax,food,,,
4/5/2022 12:16:00,cs,MSc Computer Science,yes,1,mu,ja,female,neither,12.10.1994,2,no,80,80,99,8,1,my cat purs on me,seeing sun in Netherlands,mood,weather,,,
4/5/2022 12:16:01,Computational Science,MSc Computational Science,no,0,mu,nee,male,I have no idea what you are talking about,27-08-1998,0,no,30,30,1,80,00:00,Nice weather,Social interaction ,weather,friends,,,
4/5/2022 12:16:01,Exchange program,-,yes,0,unknown,ja,female,fat,06.17.1997,0,no,59,59,60,100,2am,Sunshine,Plan,weather,work,,,
4/5/2022 12:16:01,BA,MSc Business analytics,yes,0,mu,ja,male,neither,1-1-1111,0,no,2,2,12,4,23:00,Sun,BBQ,weather,food,,,
4/5/2022 12:16:01,AI,MSc Artificial Intelligence VU,no,0,mu,nee,female,fat,01-04,2,no,60,60,10,7,23:50,no lecture,no home assignment,relax,relax,,,
4/5/2022 12:16:01,Python,troll,yes,1,sigma,nee,male,fat,12-11-1998,0,no,25,25,500,1.98956654894563E+023,00:25,Good food,Winning the lottery,food,troll,,,
4/5/2022 12:16:02,Computational Science,MSc Computational Science,no,1,mu,ja,female,neither,12-03-2004,8,no,23,23,40,9,22:00,time for myself,bouldering,relax,sport,,,
4/5/2022 12:16:02,Artificial Intelligence,MSc Artificial Intelligence VU,no,0,mu,ja,female,I have no idea what you are talking about,16 dec,0,no,40,40,1,5792,23:40,socializing,productivity,friends,work,,,
4/5/2022 12:16:02,Econometrics,MSc Econometrics and Operations Research,no,0,mu,ja,female,neither,28-08-1999,0,no,20,20,missing,7,23,0,Sunny weather,-,weather,troll,,
4/5/2022 12:16:02,MSc in AI,MSc Artificial Intelligence VU,no,0,mu,ja,female,neither,13/01/1997,2,no,40,40,30,5,12.3,Friends,Happy moments,friends,mood,,,
4/5/2022 12:16:02,CS,MSc Computer Science,yes,0,mu,ja,male,neither,1990,troll,no,100,100,100,8,null,Mood,Weather,mood,weather,,,
4/5/2022 12:16:02,Master business Analytics,MSc Business Analytics,yes,unknown,mu,nee,male,fat,09-08,0,no,20,20,troll,172,100,blue sky with a shiny sun,Knowing i have a spare day,weather,relax,,,
4/5/2022 12:16:03,AI ,MSc Artificial Intelligence VU,no,0,unknown,ja,male,neither,08/12/1998,1,yes,37,37,3,8,2,Sun and park,Sun and chill,weather,weather,,,
4/5/2022 12:16:03,AI,MSc Artificial Intelligence VU,no,0,mu,nee,female,neither,21'12'1995,4,no,1,1,0,21,23.34,sunshine ,fun stuff on the planning,weather,relax,,,
4/5/2022 12:16:03,Fin: QRM,Duisenberg Honours Programme in Quantitative Risk Management,no,0,mu,ja,gender fluid,I have no idea what you are talking about,Yesterday,2,yes,102,102,99,9137465907236,To be or not to be?,Wakker worden naast Lieke,Geen ontbijt met Jan,troll,troll,,,
4/5/2022 12:16:03,Bio informatics and systems biology,MSc Bioinformatics and Systems Biology,yes,0,sigma,nee,male,fat,17-10-2000,5,no,12,12,0.5,1.12233445566779E+019,2:34,No obligations,Games,relax,relax,,,
4/5/2022 12:16:03,AI,MSc Artificial Intelligence VU,no,0,mu,nee,female,I have no idea what you are talking about,12/07/1991,1,no,80,80,1,6,1,SUN,fun,weather,relax,,,
4/5/2022 12:16:05,Artificial Intelligence,MSc Artificial Intelligence VU,no,0,mu,nee,female,neither,12-12-1997,0,unknown,50,50,2,88,3,Sunny weather,Feeling in tune with yourself and your surroundings,weather,mood,,,
4/5/2022 12:16:05,CS,MSc Computer Science,no,0,mu,nee,male,slim,13-08-1999,1,no,50,50,1,13,1:30,warm weather,not having to get up early,weather,sleep,,,
4/5/2022 12:16:05,AI,MSc Artificial Intelligence VU,no,0,mu,nee,male,fat,1997,0,no,15,15,5,5,1:00,no work,good food,relax,food,,,
4/5/2022 12:16:06,Computational Science ,MSc Computational Science,no,0,mu,nee,female,neither,7-11-1997,4,no,29,29,50,29,15,Coffee,My bed,coffee,sleep,,,
4/5/2022 12:16:06,QRM,Duisenberg Honours Programme in Quantitative Risk Management,no,0,mu,ja,male,I have no idea what you are talking about,01/01/91,8,no,80,80,20,8,23:00,Sun,Food,weather,food,,,
4/5/2022 12:16:06,M Artificial Intelligence ,MSc Artificial Intelligence VU,no,0,mu,ja,female,neither,18-06-1999,0,no,72,72,equally shared,361,23:00,Some love from friends/fam/bf,good food,friends,food,,,
4/5/2022 12:16:06,Business Analytics,MSc Business Analytics,yes,0,mu,nee,male,I have no idea what you are talking about,05/02/98,0,no,70,70,1,5,2,good weather,eating,weather,food,,,
4/5/2022 12:16:06,MSc Computational Science ,MSc Computational Science,yes,0,mu,ja,male,neither,09-03-1999,2,no,69,69,"4,2",4.72926482736455E+027,02:00,Andrea,DMT,love,work,,,
4/5/2022 12:16:06,Computer Science(joint degree),MSc Computer Science,yes,0,mu,ja,female,fat,1999.08.27,2,no,77,77,0,77,?,sleep ,food,sleep ,food,,,
4/5/2022 12:16:06,Computer Science,MSc Computer Science,yes,1,mu,ja,male,fat,11041995,0,unknown,32,32,troll,41,11:45,Cycling,Sunlight,sport,weather,,,
4/5/2022 12:16:06,BA,MSc Business analytics,yes,1,mu,ja,female,neither,01-10-1998,0,no,40,40,20,2,0:37,sun,meeting friends,weather,friends,,,
4/5/2022 12:16:06,Business Analytics,MSc Business Analytics,yes,0,mu,nee,female,fat,20may,0,no,45,45,30,12,10,sport,call my mother,sport,friends,,,
4/5/2022 12:16:08,AI,MSc Artificial Intelligence VU,no,0,mu,ja,male,fat,18-07-2000,1,no,5,5,30,4,23:45,Not rain ,Food,weather,food,,,
4/5/2022 12:16:08,Artificial Intelligence,MSc Artificial Intelligence VU,yes,1,mu,ja,male,fat,01-05-1994,0,no,10,10,troll,13,23:30,Sun,Feeling good,weather,mood,,,
4/5/2022 12:16:08,AI Masters,MSc Artificial Intelligence VU,no,unknown,mu,ja,male,I have no idea what you are talking about,15.07.1993,0,no,33,33,33,sqrt(687458.9665),10,sleeping long,smoke weed,sleep,drugs,,,
4/5/2022 12:16:09,Bioinformatics,MSc Bioinformatics and Systems Biology,yes,0,unknown,nee,male,fat,13/04/1999,0,no,30,30,0.2,11,00:30,Good weather,Going to the gym,weather,sport,,,
4/5/2022 12:16:09,Bioinformatics and Systems Biology,MSc Bioinformatics and Systems Biology,yes,0,mu,ja,male,fat,24.12,0,yes,50,50,10,122,2:00,Sunshine,Good food,weather,food,,,
4/5/2022 12:16:09,Computational Science,MSc Computational Science,no,0,mu,ja,male,neither,14-07,0,no,10,10,2,37,23:30,nice weather,free money,weather,troll,,,
4/5/2022 12:16:09,Artificial Intelligence,MSc Artificial Intelligence VU,yes,1,mu,nee,male,I have no idea what you are talking about,05-06-1998,0,no,70,70,50,7,3,good weather,good food,weather,food,,,
4/5/2022 12:16:09,Biomolecular Sciences,MSc Biomolecular Sciences,yes,0,unknown,nee,male,fat,20-01-1995,4,no,30,30,0.2,5,23:00,Doing nothing important,Talking with friends,relax,friends,,,
4/5/2022 12:16:09,AI,MSc Artificial Intelligence VU,no,0,mu,nee,male,fat,Today,0,no,33,33,1,2,00:30,Sun,No responsibility,weather,relax,,,
4/5/2022 12:16:10,AI,MSc Artificial Intelligence VU,yes,1,mu,ja,female,neither,01-01-2000,0,no,81,81,13,4,3am,No lectures,Sunny weather,relax,weather,,,
4/5/2022 12:16:10,Computer Science,MSc Computer Science,yes,0,sigma,ja,male,unknown,04-11,0,unknown,10,10,0,696787687687687,5:00 PM,sunlight,No wind,weather,weather,,,
4/5/2022 12:16:10,Artificial Intelligence,MSc Artificial Intelligence VU,yes,0,mu,ja,female,slim,21.08.1996,0,yes,troll,troll,0.1,∞,2am,Coffee,Sleep,coffee,sleep,,,
4/5/2022 12:16:11,E&OR,MSc Econometrics and Operations Research,yes,1,mu,ja,male,neither,10th December,0,no,0,0,5,10,22:22,Sun,Fun,weather,relax,,,
4/5/2022 12:16:11,Computational science,MSc Computational Science,yes,0,sigma,nee,male,fat,01/08/1995,2,yes,19,19,100,27,12,sun,sport,weather,sport,,,
4/5/2022 12:16:11,Business Analytics,MSc Business Analytics,yes,0,mu,nee,male,neither,08.12.1997,5,no,50,50,0.25,8,01 AM,Good food,Nice whether ,food,weather,,,
4/5/2022 12:16:11,MSc Artificial Intelligence,MSc Artificial Intelligence VU,yes,1,mu,ja,male,fat,14-06-1999,1,no,10,10,0.16,6,00:15,Sunny weather,Exercise,weather,sport,,,
4/5/2022 12:16:11,Master AI,MSc Artificial Intelligence VU,yes,1,sigma,ja,male,neither,18-12-1992,0,no,100,100,troll,69,22,thuisbezorgd,gaming,troll,relax,,,
4/5/2022 12:16:11,MSc Bioinformatics and Systems Biology ,MSc Bioinformatics and Systems Biology,no,0,mu,unknown,male,slim,14/11/1997,2,no,80,80,30,333,1 am,Lots of food,Going out in a sunny day,food,weather,,,
4/5/2022 12:16:11,Computer Science,MSc Computer Science,yes,1,mu,ja,male,fat,23/04/1998,2,no,80,80,troll,10,22:00,Win lottery,Win lottery again,troll,troll,,,
4/5/2022 12:16:11,Bioinformatics and Systems Biology,MSc Bioinformatics and Systems Biology,yes,0,mu,nee,female,neither,11.09.1997,1,no,0,0,5,5,:),sun,exercise,weather,sport,,,
4/5/2022 12:16:12,Computational Science,MSc Computational Science,no,unknown,mu,ja,female,neither,03 Feb 1999,0,no,30,30,1,34567,??,Weather,Good people,weather,friends,,,
4/5/2022 12:16:14,Quantitative Risk Management,Duisenberg Honours Programme in Quantitative Risk Management,no,0,mu,nee,male,I have no idea what you are talking about,07 June,8,no,69,69,equally shared,6665437996,23:56,Cake,Cookies,food,food,,,
4/5/2022 12:16:15,AI Cognitive Science Track,MSc Artificial Intelligence VU,no,0,mu,nee,male,slim,11th,troll,yes,80,80,troll,6,about 1am,Workout, progress in the course,sport,work,,,
4/5/2022 12:16:17,AI,MSc Artificial Intelligence VU,yes,1,mu,ja,male,neither,is prive,0,no,5,5,0,troll,?,studying,learning,work,work,,,
4/5/2022 12:16:18,AI,MSc Artificial Intelligence VU,yes,0,mu,nee,male,neither,1989.9.2,4,no,80,80,70,9,9:00,food,sleep,food,sleep,,,
4/5/2022 12:16:19,Economtrics,MSc Econometrics and Operations Research,yes,1,mu,ja,male,neither,16-08-1998,0,no,25,25,0.0025,42,00:15,Being productive,Listening/making music,work,relax,,,
4/5/2022 12:16:19,BA,MSc Business analytics,yes,1,mu,ja,female,neither,May 15th,1,no,80,80,50,7,0,having a productive day,being with friends/family,work,friends,,,
4/5/2022 12:16:19,Computational science,MSc Computational Science,no,0,mu,ja,male,neither,20 December,1,yes,12,12,troll,10,01:30,Beer,Sleep,alcohol,sleep,,,
4/5/2022 12:16:19,Artificial Intelligence,MSc Artificial Intelligence VU,yes,0,mu,nee,male,fat,31/5,2,no,30,30,1,5,01 AM,Nice dinner,Netflix,food,relax,,,
4/5/2022 12:16:20,CS Big Data Engineering ,MSc Computer Science,yes,1,mu,ja,not willing to answer,slim,33th,8,unknown,100,100,99,83947,?,Music,Neat room,relax,mood,,,
4/5/2022 12:16:20,EOR,MSc Econometrics and Operations Research,yes,0,mu,ja,female,neither,03-08-1999,1,no,25,25,5,8,23:30,Friends,Drinks,friends,alcohol,,,
4/5/2022 12:16:20,AI,MSc Artificial Intelligence VU,yes,0,mu,ja,female,slim,2nd July,2,yes,30,30,8,32,3AM,Winkel apple pie,Friends,food,friends,,,
4/5/2022 12:16:20,Computer Science,MSc Computer Science,no,1,mu,ja,male,neither,27/10,3,no,75,75,40,6,7,Wake up late,breakfast,sleep,food,,,
4/5/2022 12:16:22,CLS,MSc Computational Science,no,1,mu,nee,female,I have no idea what you are talking about,24.04.1996,6,unknown,70,70,troll,56,23,smiles,more smiles,mood,mood,,,
4/5/2022 12:16:22,AI,MSc Artificial Intelligence VU,no,0,mu,nee,female,I have no idea what you are talking about,29-05-1998,8,unknown,30,30,50,8,11,Smile,Laugh,mood,mood,,,
4/5/2022 12:16:23,Artificial Intelligence,MSc Artificial Intelligence VU,no,0,mu,nee,female,fat,17.02.1996,troll,no,99,99,50,9,4,Having coffee,breakfast,coffee,food,,,
4/5/2022 12:16:24,Computational Science,MSc Computational Science,no,0,mu,nee,female,neither,02-22-2222,3,unknown,30,30,50,7,00:30,Cat,Food,mood,food,,,
4/5/2022 12:16:26,Human Language Technology,Master Human Language Technology,yes,0,mu,nee,female,neither,25.02.98,1,yes,15,15,85,42,2 am,Sunshine,Good food,weather,food,,,
4/5/2022 12:16:27,Computational Science,MSc Computational Science,no,0,mu,ja,female,neither,02-06-1996,0,no,70,70,75,53,11:00 PM,insightful things,not thinking about tomorrow ,work,mood,,,
4/5/2022 12:16:28,Artificial Intelligence,MSc Artificial Intelligence VU,no,0,mu,ja,male,neither,15-6-1998,0,no,66,66,5,487,3:00,A good sleep,Staying with my best friends,sleep,friends,,,
4/5/2022 12:16:29,EOR,MSc Econometrics and Operations Research,no,0,mu,ja,male,neither,18-08-1999,5,no,10,10,2.5,8,1:30 AM,Friends,Drinks,friends,alcohol,,,
4/5/2022 12:16:29,MSc Artificial Intelligence,MSc Artificial Intelligence VU,yes,0,mu,nee,female,fat,12.05.2001,0,unknown,87,87,missing,42,1:45,breakfast,going outside,food,weather,,,
4/5/2022 12:16:29,Computer science ,MSc Computer Science,no,0,mu,ja,male,I have no idea what you are talking about,10-11-97,1,no,50,50,100,11,9,Time with family and friends ,Good news ,friends,mood,,,
4/5/2022 12:16:35,Econometrics and Operations Research,MSc Econometrics and Operations Research,no,1,mu,ja,male,I have no idea what you are talking about,Somewhere in May,0,no,troll,troll,100,47895734,23,Food,Food,food,food,,,
4/5/2022 12:16:35,Master Artificial intelligence,MSc Artificial Intelligence VU,no,0,mu,ja,female,neither,29-11,5,no,10,10,15,2,23:00,Sunny,Meet friends,weather,friends,,,
4/5/2022 12:16:35,VU Master of AI,MSc Artificial Intelligence VU,no,0,mu,nee,male,neither,14 Feb 1982,2,no,70,70,75,666,11:50pm,"Good sleep, good sport",Good study,sleep,work,,,
4/5/2022 12:16:39,AI,MSc Artificial Intelligence VU,no,0,sigma,nee,not willing to answer,I have no idea what you are talking about,03-02-2000,0,no,100,100,missing,893,00:15,do my thing and gym,lover's kiss,sport,love,,,
4/5/2022 12:16:49,MSc Computer Science,MSc Computer Science,no,0,sigma,nee,female,I have no idea what you are talking about,11/06/1997,2,no,70,70,100,11,00:00,A warm sunny day with no stress,I answered it already,weather,troll,,,
4/5/2022 12:16:50,Economics,MSc Economics,yes,0,mu,nee,not willing to answer,fat,32-12,8,no,101,101,99,99,3,good,no school,troll,relax,,,
4/5/2022 12:16:50,MPA,"Management, Policy Analysis and Entrepreneurship in the Health & Life Sciences",unknown,1,mu,ja,male,I have no idea what you are talking about,3-3-2000,1,yes,50,50,50,7,00:30 o'clock,sunshine,drinks,weather,alcohol,,,
4/5/2022 12:16:52,Business Analytics,MSc Business Analytics,yes,1,sigma,ja,male,slim,16-7-2022,0,no,0,0,100,30,0:30,Enough time for relaxing,Being productive,relax,work,,,
4/5/2022 12:16:54,Quantitative Risk Management,Duisenberg Honours Programme in Quantitative Risk Management,no,0,mu,nee,male,I have no idea what you are talking about,29th of April 2001,4,no,troll,troll,60,5.48293748291457E+029,11pm,A nice calming Data Mining lecture,A cool glass of water,work,food,,,
4/5/2022 12:16:57,Computational Science,MSc Computational Science,no,0,mu,nee,male,neither,19/01,0,no,2,2,50,235236236,12:44,food,sleep,food,sleep,,,
4/5/2022 12:16:59,Computational Science,MSc Computational Science,no,0,mu,nee,not willing to answer,slim,1.2.2003,2,unknown,50,50,0.4,222 223,3,Lemons,Lemonade,troll,troll,,,
4/5/2022 12:17:03,Computational Science(CLS),MSc Computational Science,no,0,mu,nee,male,neither,11/01/1996,0,yes,50,50,100,8,13:30,Good sleep,Something to achieve in the day,sleep,work,,,
4/5/2022 12:17:10,Computational Science,MSc Computational Science,no,0,mu,nee,male,fat,7 february,1,no,65,65,equally shared,50,1:00,having fun,a nice meal,relax,food,,,
4/5/2022 12:17:11,BA,MSc Business analytics,yes,0,mu,nee,male,neither,16-10-1990,2,no,10,10,0,7,00:30,Silence,Warm weather,relax,weather,,,
4/5/2022 12:17:19,AI,MSc Artificial Intelligence VU,yes,0,mu,nee,male,neither,6/9,0,no,30,30,20,73,2350,Clear skies,Chill music,weather,relax,,,
4/5/2022 12:18:02,BA,MSc Business analytics,yes,1,mu,ja,male,I have no idea what you are talking about,29/04/1998,0,no,0,0,98,626,02h00,Ether in the green,Coffee,drugs,coffee,,,
4/5/2022 12:18:28,Computer Science ,MSc Computer Science,no,0,mu,ja,male,fat,28/03,1,no,38,38,30,42,2300,Come up with a good question,Find a solution to the good question,troll,troll,,,
4/5/2022 12:19:12,Computer Science,MSc Computer Science,yes,0,sigma,ja,male,neither,9th April 1999,1,no,50,50,100,69420,2 am,A good gym session,Good food,sport,food,,,
4/5/2022 12:19:24,Data mining,-,yes,1,mu,ja,female,fat,16-02-1998,0,no,1,1,10,37,2,Good weather,Bad weather,weather,troll,,,
